id;jenis_kelamin;umur;asal;penempatan;gaji;pendidikan;IPK;pengalaman;jenis_rekrut;status_rekrut
1;1;1;2;2;3;1;03.31;4;2;1
2;0;3;19;13;4;0;01.18;5;2;0
3;1;1;15;8;5;0;01.59;5;1;0
4;1;2;14;14;2;2;03.48;3;2;1
5;1;1;21;21;1;1;03.02;1;1;1
11;1;1;9;27;3;0;0,150694444;1;1;0
12;0;3;16;34;3;0;02.58;0;1;0
13;1;1;29;16;3;0;01.19;0;2;0
14;0;1;4;4;3;1;03.27;4;2;1
15;1;1;5;26;3;0;0,152083333;2;1;0
16;0;1;32;27;5;0;0,150694444;3;1;0
17;1;2;11;28;3;0;0,139583333;0;1;0
18;1;1;31;13;5;0;01.47;3;1;0
19;0;2;11;11;3;1;0,171527778;4;2;1
20;0;2;7;7;1;2;03.09;1;1;1
21;0;1;31;31;3;2;03.36;2;2;1
22;1;2;34;34;2;2;03.09;1;1;1
23;1;1;29;6;3;0;01.29;1;2;0
24;1;2;14;14;1;2;03.05;2;1;1
25;0;1;17;17;3;2;03.52;2;2;1
26;1;1;29;29;2;1;03.32;3;2;1
27;1;3;19;28;4;0;0,084722222;5;2;0
28;1;1;14;2;4;0;01.58;2;1;0
29;1;1;10;10;3;2;0,170833333;2;2;1
30;1;2;14;14;3;2;0,185416667;4;2;1
31;0;1;6;6;1;1;03.06;2;1;1
32;1;1;4;6;4;0;01.57;1;1;0
33;0;1;26;26;2;2;03.06;2;1;1
34;1;3;11;21;3;0;01.06;1;2;0
35;0;1;7;7;5;0;02.54;5;1;0
36;0;2;29;18;5;0;01.54;3;2;0
43;0;1;32;32;2;1;03.47;3;2;1
44;0;3;7;30;3;0;0,144444444;1;2;0
45;1;2;17;30;5;0;0,136111111;4;2;0
46;0;2;20;20;2;2;03.08;1;1;1
47;1;2;20;20;1;2;03.01;1;1;1
48;0;1;15;15;2;1;03.03;0;1;1
49;1;3;24;27;3;0;0,095138889;1;2;0
50;0;3;2;31;5;0;0,140972222;3;2;0
51;0;1;32;32;1;1;03.04;0;1;1
52;0;3;31;26;5;0;0,134027778;5;2;0
53;1;1;10;10;2;1;03.06;1;1;1
54;1;1;2;31;4;0;01.47;5;1;0
61;0;1;21;12;5;0;0,1;1;2;0
62;1;2;28;28;1;2;4;2;1;1
63;1;1;6;6;2;2;03.05;0;1;1
64;0;3;15;10;3;0;0,088194444;0;1;0
65;0;1;6;17;4;0;02.22;2;1;0
66;1;2;17;18;5;0;0,132638889;0;2;0
67;0;1;20;20;3;1;03.43;3;2;1
68;0;2;21;21;3;3;0,181944444;3;2;1
69;0;1;7;2;5;0;0,136111111;0;1;0
70;0;1;31;21;5;0;01.01;3;2;0
71;1;3;1;17;4;0;01.08;1;2;0
72;0;3;24;17;4;0;0,105555556;0;2;0
73;1;3;13;31;5;0;0,086805556;1;1;0
74;1;1;21;2;3;0;0,148611111;4;2;0
82;0;1;24;20;3;0;01.45;4;1;0
83;0;2;1;28;5;0;0,15;0;1;0
84;1;2;14;14;2;1;03.06;2;1;1
85;1;3;8;17;5;0;0,140277778;5;1;0
86;1;2;16;7;3;0;02.41;5;2;0
87;0;3;5;33;4;0;01.38;4;1;0
88;1;1;34;13;5;0;02.03;5;2;0
89;0;1;10;23;4;0;0,101388889;3;2;0
90;0;1;8;8;3;1;0,172916667;3;2;1
91;0;1;3;23;4;0;01.04;4;2;0
92;0;2;6;33;3;0;0,146527778;2;2;0
93;1;1;27;27;2;1;0,191666667;2;2;1
94;1;2;1;1;2;1;0,190972222;4;2;1
95;1;2;33;13;4;0;01.02;1;2;0
96;1;1;20;32;3;0;01.14;1;2;0
104;1;1;20;20;2;2;03.03;4;2;1
105;1;2;16;16;2;2;03.34;2;2;1
106;0;2;10;10;2;1;01.18;2;2;1
107;1;1;18;24;4;0;01.59;4;1;0
108;1;2;2;15;5;0;03.48;0;2;0
109;0;2;27;18;4;0;03.02;1;1;0
110;0;3;11;33;3;0;01.15;2;1;0
111;0;2;15;15;2;2;0,149305556;2;1;1
112;0;1;9;3;3;0;0,127083333;2;1;0
113;1;1;31;31;1;1;01.15;0;1;1
114;0;2;6;6;1;2;0,109027778;0;1;1
115;0;1;2;2;1;2;0,150694444;2;1;1
116;0;1;17;17;2;1;02.58;3;2;1
117;0;2;25;13;4;0;01.19;4;2;0
118;1;1;5;7;5;0;03.27;5;2;0
119;1;1;25;25;1;2;0,152083333;2;1;1
120;1;1;22;1;5;0;0,150694444;0;2;0
121;1;2;24;27;5;0;0,139583333;4;1;0
122;1;3;17;20;4;0;01.47;3;1;0
123;1;1;20;20;2;3;0,171527778;3;2;1
124;0;2;10;10;2;1;03.09;2;1;1
125;0;2;9;9;3;1;03.36;3;2;1
126;1;1;1;1;3;1;03.09;4;2;1
127;0;1;27;27;2;3;0,177777778;3;2;1
128;1;1;25;10;5;0;01.38;3;2;0
129;0;2;17;17;1;2;03.09;1;1;1
130;1;1;20;20;2;1;0,177083333;4;2;1
131;0;3;27;1;4;0;02.21;0;2;0
132;0;2;19;19;2;2;03.05;0;1;1
133;1;1;33;33;2;1;03.07;2;1;1
134;0;2;31;31;1;2;03.07;1;1;1
135;1;1;31;22;4;0;0,100694444;0;1;0
136;1;2;29;31;4;0;0,136805556;0;1;0
137;0;1;19;19;1;2;03.03;2;1;1
138;0;1;19;3;5;0;01.32;1;1;0
139;1;2;27;27;1;2;03.09;0;1;1
140;1;3;4;17;4;0;01.55;4;2;0
141;1;2;18;22;4;0;02.41;4;1;0
142;0;1;17;4;5;0;01.06;0;1;0
143;1;3;18;18;2;1;03.02;0;1;1
144;0;1;21;2;5;0;02.09;1;1;0
145;0;1;5;30;3;0;02.08;5;2;0
146;1;1;22;32;4;0;0,0875;2;1;0
147;0;1;10;29;5;0;0,134027778;0;2;0
148;0;2;19;5;3;0;01.49;3;1;0
149;1;1;1;8;5;0;0,101388889;3;1;0
150;0;2;15;15;2;1;03.07;1;1;1
151;0;2;19;19;3;1;0,188888889;4;2;1
152;1;1;15;18;4;0;02.57;2;2;0
153;0;2;24;18;4;0;0,127083333;3;2;0
154;1;1;21;32;4;0;02.03;5;1;0
155;1;2;17;17;3;2;03.41;3;2;1
156;0;1;21;6;4;0;02.24;1;2;0
157;0;2;28;28;2;1;03.09;0;1;1
158;0;2;12;34;3;0;0,093055556;3;1;0
159;1;1;14;14;1;2;03.06;0;1;1
160;0;1;8;5;5;0;0,135416667;5;2;0
161;0;3;23;20;4;0;0,089583333;0;1;0
162;1;2;17;17;5;0;01.13;0;1;0
163;1;1;11;14;3;0;02.31;1;2;0
164;1;2;24;24;1;1;03.03;1;1;1
165;1;2;34;34;1;2;03.01;2;1;1
166;0;1;7;7;1;2;03.03;0;1;1
167;0;2;6;6;3;1;03.58;4;2;1
168;0;2;32;32;2;3;0,181944444;4;2;1
169;0;1;11;11;1;2;03.03;1;1;1
170;1;2;27;27;3;1;03.29;4;2;1
171;0;1;27;27;3;3;03.41;3;2;1
172;1;2;11;11;2;0;0,18125;3;2;1
173;0;1;21;21;3;0;03.31;2;2;1
174;0;3;3;7;3;2;0,099305556;5;1;0
175;0;2;22;20;4;1;0,090972222;3;1;0
176;1;1;21;12;3;1;0,1;1;2;0
177;1;3;33;1;5;0;0,095833333;5;2;0
178;0;2;23;23;3;1;03.45;4;2;1
179;1;1;10;10;1;3;03.05;0;1;1
180;0;1;14;14;3;2;0,170833333;4;2;1
181;1;3;26;4;5;0;0,102083333;3;2;0
182;1;1;15;15;2;0;4;0;1;1
183;0;2;10;10;3;0;03.47;2;2;1
184;1;1;15;15;2;1;03.04;0;1;1
185;0;2;13;13;2;0;0,189583333;2;2;1
186;1;2;3;3;3;0;0,19375;4;2;1
187;1;1;25;20;3;0;0,084027778;2;1;0
188;1;2;1;1;2;0;0,177777778;4;2;1
189;1;2;34;27;4;1;0,139583333;3;2;0
190;1;2;34;34;2;2;03.01;0;1;1
191;0;2;29;29;3;2;0,190277778;4;2;1
192;1;2;1;1;1;1;03.07;2;1;1
193;0;1;15;8;3;0;02.03;5;2;0
194;1;3;22;12;3;0;0,110416667;5;2;0
195;1;1;26;4;5;0;02.33;2;1;0
196;1;1;3;3;2;2;03.46;4;2;1
197;0;1;22;2;5;0;01.08;5;1;0
198;1;1;20;20;3;2;0,18125;2;2;1
199;1;1;2;2;2;1;03.28;3;2;1
200;1;2;14;10;5;0;01.49;4;1;0
201;1;3;17;23;3;0;0,146527778;2;1;0
202;0;2;10;10;2;3;0,177777778;4;2;1
203;1;2;3;3;3;2;03.03;3;2;1
204;0;1;18;18;2;3;0,192361111;2;2;1
205;1;2;30;24;5;0;0,092361111;1;1;0
206;0;1;27;27;1;1;03.02;2;1;1
207;0;3;10;10;3;1;03.39;2;2;1
208;0;2;4;4;3;2;0,185416667;3;2;1
209;1;1;11;11;2;2;4;0;1;1
210;0;3;24;10;4;0;0,095833333;4;1;0
211;0;2;27;33;4;0;01.05;4;2;0
212;1;2;31;31;3;2;03.36;2;2;1
213;1;2;26;26;3;3;0,19375;4;2;1
214;0;1;13;8;4;0;01.34;5;2;0
215;0;3;20;13;4;0;01.57;5;2;0
216;1;2;23;23;3;1;03.35;3;2;1
217;0;1;13;13;1;2;03.05;0;1;1
218;1;1;22;22;2;1;03.54;4;2;1
219;1;3;3;29;4;0;02.02;5;1;0
220;1;2;8;8;3;3;4;2;2;1
221;1;1;21;13;5;0;02.57;2;2;0
222;0;2;33;33;3;3;03.32;2;2;1
223;1;2;18;18;3;3;0,191666667;2;2;1
224;1;2;30;30;2;2;03.02;0;1;1
225;1;1;6;6;2;3;03.55;2;2;1
226;0;1;5;14;5;0;0,084027778;5;2;0
227;1;1;1;1;2;1;03.07;1;1;1
228;1;2;4;14;4;0;0,085416667;2;1;0
229;0;2;33;11;3;0;01.44;3;1;0
230;1;2;20;18;3;0;01.05;0;1;0
231;1;2;18;8;4;0;0,13125;4;2;0
232;0;2;21;2;5;0;0,096527778;1;2;0
233;1;1;2;2;1;1;03.02;2;1;1
234;1;3;27;29;4;0;02.48;3;2;0
235;0;3;25;34;4;0;0,100694444;0;1;0
250;0;1;23;17;5;0;01.06;5;1;0
251;0;3;10;10;4;0;0,084722222;0;1;0
252;1;3;1;6;4;0;0,086111111;2;1;0
253;0;2;17;30;5;0;02.08;3;1;0
254;0;2;6;6;2;1;03.01;2;1;1
255;0;3;23;24;3;0;01.24;1;2;0
256;0;3;34;5;3;0;02.42;2;1;0
257;0;2;22;25;4;0;02.25;5;1;0
258;1;1;25;25;3;3;0,177083333;2;2;1
259;1;3;31;32;5;0;02.11;4;1;0
260;0;2;5;5;3;2;0,188888889;3;2;1
261;1;2;13;13;3;1;0,168055556;3;2;1
262;1;1;30;30;2;1;03.07;1;1;1
263;1;3;29;18;3;0;02.03;0;2;0
264;0;1;11;11;3;3;0,186805556;3;2;1
265;0;2;30;30;1;1;03.02;0;1;1
266;1;1;23;23;1;2;03.09;0;1;1
267;1;2;31;31;3;1;0,191666667;2;2;1
268;1;2;18;18;2;1;03.01;1;1;1
269;1;3;25;24;4;0;02.19;3;2;0
270;0;1;32;32;2;3;0,192361111;2;2;1
271;1;3;7;8;3;0;01.52;0;1;0
272;1;1;15;3;5;0;0,10625;3;2;0
273;0;2;6;6;3;3;03.29;3;2;1
274;1;1;13;12;4;0;02.24;5;1;0
275;1;3;7;15;5;0;01.51;1;2;0
